懂 	dǒng 	to understand, to comprehend	心
懒	lan3		
戈	ge1		
成	cheng2		
我	wǒ	I, me	戈
或	huo4		
战	zhan4		
戶	hù 	door, household	戶
户	hu4		
房 	fáng 	house, room	戶
所 	suǒ	c. house, actually	戶
扁	bian3		
扇	shan4		
手 	shǒu 	hand, convenient	手 
才	cai2		
打 	dǎ 	to hit	手 
扔	reng1		
托	tuo1		
扛	kang2		
批	pi1		
找 	zhǎo 	to seek, to find	手 
技	ji4		
把	ba3		
抓	zhua1		
抚	fu3		
抢	qiang3		
护	hu4		
报 	bào 	to announce, newspaper	手 
抱	bao4		
担	dan1		
拉	la1		
拌	ban4		
拔	ba2		
拜	bai4		
拟	ni3		
拼	pin1		
拿	na2		
挂	gua4		
挑	tiao3		
捆	kun3		
捉	zhuo1		
捕	bu3		
掀	xian1		
掉	diao4		
掌	zhang3		
掖	ye1		
握	wo4		
搅	jiao3		
搬	ban1		
搭	da1		
摘	zhai1		
摸	mo1		
撑	cheng1		
撒	sa1		
撞	zhuang4		
攴	pū 	rap, tap lightly	攴
收	shou1		
放	fang4		
敌	di2		
教 	jiào 	religion, teaching, to tell	攴
敢	gan3		
散	san3		
敬	jing4		
数	shu3		
敲	qiao1		
文	wen2		
斗	dou3		
料	liao4		
斤 	jīn 	axe, half kilogram	斤 
斥	chi4		
断	duan4		
新 	xīn 	new 	斤 
方	fang1		
旁 	páng 	side	方
旅 	lǚ 	square, a region	方
旋	xuan2		
无	wu2		
日	rì	day	日
早 	zǎo	early, morning	日
时 	shí 	time, period	日
明 	míng 	bright, next, wise	日
易	yi4		
昔	xi1		
星 	xīng	star, heavenly body	日
春	chun1		
昨 	zuó 	yesterday	日
是	shì	be (am, is, are)	日
晃	huang4		
晚 	wǎn 	evening, late	日
晴 	qíng 	clear, fine (weather)	日
智	zhi4		
暗	an4		
暴	bao4		
更	geng4		
曾	ceng2		
月	yuè	month	月
有	yǒu	have	月
朋 	péng 	friend	月
服 	fú 	clothes, obey	月
朗	lang3		
望 	wàng 	to hope, to expect	月
朝	chao2		
期 	qī 	period of time	月
木	mu4		
末	mo4		
本	běn	volume	木
机 	jī 	machie, engine	木
权	quan2		
杏	xing4		
材	cai2		
束	shu4		
条	tiao2		
来	lái	come	木
杯 	bēi 	c. cup	木
松	song1		
板	ban3		
林	lin2		
果 	guǒ 	fruit	木
枝	zhi1		
柠	ning2		
标	biao1		
树	shu4		
校 	xiào 	school, military officer	木
样 	yàng 	manner, appearance	木
核	he2		
格	ge2		
栽	zai1		
桃	tao2		
桌 	zhuō	table, desk	木
档	dang4		
桶	tong3		
梦	meng4		
梨	li2		
棒	bang4		
棕	zong1		
森	sen1		
棵	ke1		
椅 	yǐ 	chair	木
植	zhi2		
榄	lan3		
榛	zhen1		
樱	ying1		
橄	gan3		
橙	cheng2		
橡	xiang4		
檬	meng2		
欠	qiàn	owe, lack	欠
次 	cì 	next in sequence	欠
欢 	huān 	joyous	欠
歉	qian4		
歌	ge1		
歌 	gē 	sing	欠
止	zhǐ	stop, halt	止
正	zhèng	straight, upright	止
此 	cǐ 	this 	止
步 	bù 	step, walk	止
武	wu3		
死	si3		
殳	shu1		
毋	wú	do not	毋
母	mu3		
每 	měi 	every 	毋
毒	du2		
比	bi3		
氏	shi4		
民	min2		
气	qi4		
水	shuǐ	water	水
汁	zhi1		
汉 	hàn	man	水
汤	tang1		
汽 	qì 	vapor, steam	水
沙	sha1		
没	méi	no	水
河	he2		
油	you2		
沿	yan2		
泉	quan2		
法	fa3		
波	bo1		
泳 	yǒng 	swim	水
洗 	xǐ 	wash 	水
活	huo2		
流	liu2		
浅	qian3		
海	hai3		
消	xiao1		
液	ye4		
深	shen1		
温	wen1		
游 	yóu 	part of a river, swim	水
湿	shi1		
溅	jian4		
满	man3		
滚	gun3		
漂 	piāo 	float, drift	水
澡	zao3		
火 	huǒ 	fire, anger	火
灯	deng1		
灰	hui1		
灵	ling2		
炉	lu2		
点	diǎn	dot, spot	火
烂	lan4		
烟	yan1		
烦	fan2		
烧	shao1		
烫	tang4		
热	rè	hot	火
然	ran2		
照	zhao4		
熊	xiong2		
燃	ran2		
爬	pa2		
爱	ài	love	爪
父	fù	father 	父
爷	ye5		
爸 	bà 	father 	父
丬	qiang2		
片	pian4		
牙	ya2		
牛 	niú 	ox, cattle	牛 
物	wu4		
特	te4		
犯	fan4		
狂	kuang2		
狗	gǒu	dog	犬
独	du2		
狮	shi1		
狼	lang2		
猜	cai1		
猪	zhu1		
猫	māo	cat	犬
玄	xuan2		
率	lv4		
玉	yù 	jade, gem	玉
王	wang2		
玩 	wán 	play 	玉
现 	xiàn 	present, now	玉
班 	bān 	work shift, team	玉
球 	qiú 	ball, sphere	玉
理	li3		
璇	xuan2		
瓜 	guā 	melon	瓜 
瓦	wa3		
瓶	ping2		
甜	tian2		
生 	shēng 	birthday 	生 
用	yong4		
甬	yong3		
田	tiān	field, farmland	田
由	you2		
电 	diàn 	electricity, electrical	田
男 	nán 	male, boy	田
画	hua4		
界	jie4		
番	fan1		
疑	yi2		
疒	nè	sick	疒
疯	feng1		
病 	bìng 	illness	疒
痛	tong4		
痴	chi1		
白 	bái 	white, pure	白 
百 	bǎi 	hundred 	白 
的	de	possessive particle	白
皮	pi2		
盆	pen2		
盏	zhan3		
盖	gai4		
盘	pan2		
目	mù	eye, look	目
直	zhi2		
相	xiang1		
看	kàn	look	目
真 	zhēn 	real, genuinely, really	目
眼 	yǎn 	eye, small hole	目
着 	zhe 	progress particle	目
睛 	jīng 	eyeball	目
睡 	shuì 	sleep	目
知 	zhī 	to know, realize, inform	失
短	duan3		
石	shi2		
矿	kuang4		
砖	zhuan1		
确	que4		
碗	wan3		
示	shì 	show, manifest, demonstrate	示
礼	li3		
视 	shì 	to inspect, to regard	示
祝	zhu4		
神	shen2		
票 	piào 	ticket 	示
福	fu2		
禸	róu	rump	禸
离 	lí 	leave 	禸
禾	hé	grain on a stalk, rice plant	禾
私	si1		
秋	qiu1		
租 	zū 	to hire, to rent	禾
稀	xi1		
程	cheng2		
稍	shao1		
稻	dao4		
穴	xué	cave, den, hole	穴
空	kong1		
穿	chuān 	to wear, to pass through	穴
立	lì 	stand, establish	立
站 	zhàn 	station, to stop	立
竞	jing4		
竹	zhú	bamboo, flute	竹
笑 	xiào 	smile 	竹
笨	ben4		
第	di4		
第 	dì 	order (numerical)	竹
等 	děng 	wait, sort, grade	竹
答 	dá 	answer, reply	竹
简	jian3		
箱	xiang1		
篮 	lán 	basketball	竹
米 	mǐ 	rice	米 
类	lei4		
粉	fen3		
精	jing1		
糊	hu2		
糕	gao1		
糖	tang2		
糟	zao1		
糸	mì 	silk	糸
系 	xì 	tie, bind; system, department	糸
紧	jin3		糸
紫	zi3		糸
累	lei3		糸
累 	lèi 	tired	糸
红 	hóng 	red 	糸
级	ji2		糸
纸 	zhǐ 	paper, c. documents	糸
练	lian4		糸
组	zu3		糸
绍 	shào 	carry on, continue	糸
经	jing1		糸
经 	jīng 	to endure, scripture, menstruate	糸
绑	bang3		糸
结	jie1		糸
给	gei3		糸
给 	gěi 	give 	糸
络	luo4		糸
绝	jue2		糸
继	ji4		糸
续	xu4		糸
绿	lv4		糸
编	bian1		糸
缘	yuan2		糸
缚	fu4		糸
缶	fou3		
网	wang3		
罚	fa2		
罢	ba4		
羊 	yáng 	sheep, goat	羊 
美	mei3		
羞	xiu1		
翁	weng1		
翻	fan1		
老 	lǎo 	old, aged, experienced	老 
考 	kǎo	examination, test	老 
者	zhe3		
而	er2		
耳	er3		
耻	chi3		
联	lian2		
聪	cong1		
肉 	ròu 	meat	肉 
肖	xiao4		肉 
肚	du4		肉 
肠	chang2		肉 
胃	wei4		肉 
背	bei4		肉 
胜	sheng4		肉 
能	néng	can, be able to	肉
脑 	nǎo 	brain, mind	肉 
脚	jiao3		
脸	lian3		
腐	fu3		
自 	zì 	self, private	自 
臼	jiu4		
舒	shu1		
舛	chuǎn	oppose, deviate, be contrary to	舛
舞 	wǔ 	dance, to wield	舛
舟	zhōu	boat, ship	舟
船 	chuán 	boat 	舟
良	liang2		
色 	sè 	color, kind	色 
艸	cǎo 	grass	艸
花	hua1		艸
苦	ku3		艸
英	ying1		艸
苹 	píng 	(part of) apple	艸
茄	qie2		艸
茶	chá	tea	艸
草	cao3		艸
荔	li4		艸
荡	dang4		艸
药 	yào 	medicine 	艸
莲	lian2		艸
获	huo4		艸
菇	gu1		艸
菜	cài	vegetable	艸
菠	bo1		艸
萄	tao2		艸
萝	luo2		艸
萨	sa4		艸
葡	pu2		艸
蒙	meng2		艸
蓝	lan2		艸
蔬	shu1		艸
蕉	jiao1		艸
薄	bo2		艸
藏	cang2		艸
蘑	mo2		艸
虫	chóng	insect, worms	虫
虹	hong2		
虽	sui1		
蛋 	dàn 	egg	虫
蛙	wa1		
蜜	mi4		
蠢	chun3		
血	xie3		
行 	xíng 	go, behaviour	行 
衣 	yī 	clothes, cover, skin	衣 
表 	biǎo 	exterior surface	衣 
袋	dai4		
被	bei4		
装	zhuang1		
裤	ku4		
襄	xiang1		
西 	xī 	west	西 
要 	yào 	want, important, will	西 
覆	fu4		
见	jiàn	see, observe	见
规	gui1		
览	lan3		
觉 	jué	sense, feel, thinking	见
警	jing3		
讠	yán 	speech	讠
计	ji4		
认 	rèn 	to recognize, to know	讠
讨	tao3		
让 	ràng 	let 	讠
记	ji4		
识 	shi 	know, understand	讠
诉 	sù 	tell, inform	讠
词	ci2		
试 	shì 	try, test	讠
话 	huà 	word, talk, language	讠
诞	dan4		
该	gai1		
语 	yǔ 	dialect, language	讠
说 	shuō 	to speak, to say	讠
请	qǐng	please	讠
读	dú	read	讠
课 	kè 	class, subject, course	讠
谁	shuí	who	讠
调	diao4		
谅	liang4		
谜	mi2		
谢 	xiè 	thank	讠
豆	dou4		
象	xiang4		
豪	hao2		
贝	bèi	money, currency	贝
负	fu4		
货	huo4		
贯	guan4		
贱	jian4		
贵 	guì 	expensive 	贝
赖	lai4		
赛	sai4		
赢	ying2		
走	zǒu 	to walk, to run	走
赶	gan3		
起 	qǐ 	to rise, to get up	走
超	chao1		
越	yue4		
足 	zú 	foot, leg	走
趴	pa1		
跑	pao3		
跟	gen1		
路 	lù 	road, path	足 
跳 	tiào	jump	足 
踝	huai2		
蹭	ceng4		
身 	shēn 	body, life, trunk	身 
车 	chē 	car, machine	车 
转	zhuan3		
轻	qing1		
载	zai3		
辅	fu3		
输	shu1		
辞	ci2		
辵	chuò	walk, walking	辵
边 	biān 	side, edge	辵
迅	xun4		
过	guo5		
